"Review","Result"
"excellent","positive"
"good","positive"
"excellent","positive"
"not intrested","positive"
"very good sound quality","positive"
"good","positive"
"really good","positive"
"good phone","positive"
"awesome","positive"
"good","positive"
"good","positive"
"sometimes the touch screen doesn&apos;t work properly","positive"
"dchv","positive"
"bakwas mobile","positive"
"i bought this through exchange offer. so gave off my lenovo k6 and chose this in exchange.<br>let me frank, i am so happy with the value amazon gave for my old phone and the price at which i got my brand new vivo y81.damn sure, no shop could have given a better deal.<br>can you believe,by seeing the deal which i received,  my spouse(who always stay miles away from online shopping)  was also planning to get his i phone 6 exchanged through amazon!!!<br>now about vivo y81...very good phone, sound quality is amazing.camera also nice.<br>the whole look of phone is fabulous.<br>the back portion is glossy  and gives a stylish look.<br>easy to handle as well.","positive"
"best picture quality","positive"
"i got the worst product, never buy at online.. while i compare y81 online and at out side sangeetha mobiles demo,  both same mobiles but display brightness and camera worst with compare to original vivo y81","negative"
"like","positive"
"nice","positive"
"nice","positive"
"super phone i love it but it&apos;s have many more","positive"
"it&apos;s a good product","positive"
"camera quality is too bad.","positive"
"waste of money","positive"
"no quality good","positive"
"excellent phone","positive"
"how to set notification light in vivo y81","positive"
"very good camera","positive"
"awesome","positive"
"not working, regularly","positive"
"look is very decent, average performance.","positive"
"good","positive"
"good","positive"
"gorgeous","positive"
"gud mobile","positive"
"nice","positive"
"happiness for this good","positive"
"like","positive"
"no issue in this phone everything excellent","positive"
"good","positive"
"features and performance are really good","positive"
"value for money.. go for it!!!","positive"
"good","positive"
"it&apos;s worth..","positive"
"good product","positive"
"nice camera &amp; battery","positive"
"front camera quaility very low and battery charge very slow","positive"
"camera","positive"
"i forgot to copy my all data from my old phone can it recall back, please help me","positive"
"display and performance","positive"
"nice","positive"
"good one","positive"
"amazing phone loved it ..... good camera quality and screen resolution .... speed is also good and enough space given","positive"
"very nice","positive"
"hi, its very good product. i would like to share some points, please confirm how can i interact with vivo?","positive"
"on time delivery love this product","positive"
"ok... but camera is not good...sometimes its hanging","positive"
"best","positive"
"very good","positive"
"nice mobile","positive"
"good","positive"
"worst phone and service by amazon. the phone lags like hell just out of the box. i just installed facebook and whatsapp on it and it lags heavily. when i contacted amazon to return it , they said install an app our team will check it. and guess what their team said this is a different phone than you purchased so can&apos;t replace. don&apos;t buy it ever","positive"
"everything is going good..","positive"
"as acpect product not so good","positive"
"decent product a good looking phone. battery backup is good, charging the phone takes time. overall nice product","positive"
"good.but improve cam quality.","positive"
"worthy product","positive"
"unbeatable price, features &amp; look","positive"
"nice product","positive"
"phone is good","positive"
"good","positive"
"best vivo phone for under15k price range.","positive"
"ac<br><br>.good","negative"
"good","positive"
"hi","positive"
"costaly more me. this configuration is very bad in this range. screen is big not comfortable in hand. picture quality is not good for my expectations.","positive"
"nice product i love this","positive"
"very good experience","positive"
"phone is superb.i got this under extra 2000 exchange value..","positive"
"good looking phone","positive"
"nce product","positive"
"good","positive"
"t h i s i s b e s t p h o n e f o r u s e","negative"
"very good","positive"
"good picture quality. app folder size is half of the screen. it might be full screen.","positive"
"everything okay,charging very late","positive"
"looking is good but pictures quality is not good","positive"
"nice","positive"
"very bad camera  is so poor","positive"
"redmi again prove valuable handset","negative"
"good","positive"
"camera not clear video play online","positive"
"everything is good. for this budget","positive"
"not useful for photography at night<br>redeyed photograph","negative"
"excellent product","positive"
"1no phone","positive"
"good overall","positive"
"good","positive"
"picture quality is very bad","positive"
"nice","positive"
"good","positive"
"super mobile","positive"
"very nice","positive"
"it is not working properly.","positive"
"i like it.. and thank you amazon..","positive"
"hi team sensor is not working","positive"
"it didn&apos;t givw a earphones with it","negative"
"good phone","positive"
"i&apos;m check the mobile is showing 4gb ram but everyone is committed this vivo y81 only 3gb ram","negative"
"light weight,good battery,value for money.","positive"
"camera clearity in low light.<br>sound quality in headphone.<br>no multiple delete options in messages.<br>kindly improve for the same.","positive"
"bad phone","positive"
"amazon shopping means believe in the best.","positive"
"good","positive"
"i love this phone actually i have is camera is wonderful in comparison of j6 or y81 i suggested y81","positive"
"out of 100 i will give marks for camera 95, battery 90, ringtone sound 80 &amp; rest all 100 out of 100.","positive"
"quality not ok","positive"
"every thing is awsm except selfie camera.","positive"
"nice phone","positive"
"good.","positive"
"it&apos;s nice mobile","positive"
"nice product","positive"
"about a month completed using the phone , fully satisfied with the product","positive"
"all good","positive"
"good","positive"
"nice brand","positive"
"all is ok","positive"
"not happy","positive"
"nice phone.","positive"
"vivo y81 mobile is good.<br>1 but back camera not up-to mark.  2 front camera is better than back camera.<br>3 not given fast charger, it&apos;s taking nearly 3 hours to get fully charged,  this is major issue.","positive"
"bought this phone of 8500/-on offers.  recd in one day on 29oct.  used the phone fr two days now.  i think it&apos;s value fr money. looks, camera quality, response are too gud.","positive"
"it&apos;s best phone","positive"
"i am happy with the product but i did not get earphones along with the mobile phone.","positive"
"worth full and good looking","positive"
"good phone camera voice charity display battery back exhalent","positive"
"good","positive"
"best","positive"
"i didn&apos;t  get earphones","negative"
"it tells camera and music phone but the camera quality is very worst. i contacted vivo customer support and did what they told and didnot resolve camera qulity issue.","positive"
"lightweight super performance phone with face recognition and other smart ai features","positive"
"good","positive"
"useful mobile","positive"
"ok","positive"
"nice","positive"
"very very good product. i am satusfyed about this. amazon is best site for buying product. thankew so much amazon","positive"
"good for the replacement.","positive"
"phone is ok but this is without head phones","positive"
"good product","positive"
"very good","positive"
"i have not received ear phobe","positive"
"mobile looks super","positive"
"great product,  also very good offer on exchange value,  thanks amazon for running such kind of shopping festival.","positive"
"very good product","positive"
"sound is good, shape is attractive,functionig is good, earphone is not with this phone, display is nice but camera quality is very bad","positive"
"earphone missing","positive"
"very best","positive"
"value for money","positive"
"very nice product in budget","positive"
"crystal clear picture quality.....best price.....sound quality classic","positive"
"i like extordinary futures","negative"
"headphones are not working","positive"
"nice","positive"
"mst phone hai","negative"
"good","positive"
"dint get earphones with the phone.","positive"
"value for money and have to increase the quality of camera clarity","positive"
"everything okay except battery charger","positive"
"it&apos;s a good product by vivo","positive"
"wonderful experience with vivo y81","positive"
"good","positive"
"i didn&apos;t like this phone because this price is so high and product quality is 0","positive"
"super","positive"
"very good product","positive"
"average","positive"
"nice camera","positive"
"good","positive"
"this is quite a good smartphone if u don&apos;t want too expensive one. i bought this for an exchange and it&apos;s very nice. 3 gb of ram is quite good working. picture quality is nice in daylight, u may see it won&apos;t work as much fine in night dats only things i have found out is a con in this phone.  although it&apos;s value for money.","positive"
"nice..","positive"
"simply fast and good at this cost","positive"
"if you&apos;re someone who wants a power packed phone with all the necessary features and that too at an affordable price, then go for it.<br><br>the best thing is the battery. charge it once and you can use it all day long. the charger is a basic one and not a fast charger.<br><br>the picture quality is good. and the phone is not heavy.","positive"
"overly priced mediocre product","positive"
"not bad, picture quality good,but sound clarity not perfect","positive"
"amazing product...","positive"
"nice product for value","positive"
"fantastic mobile","positive"
"good","positive"
"amazing picture clarity for me, sound is at its best i loved it very much","positive"
"i gifted to my fianc&#xe9; on his birthday  . he is tooo happy with the gift...","positive"
"true value for money and must buy. touch is so smooth &amp; picture quality is awesome.. thanks amazon and sujaul, u r so co-operative and good delivery.. 6 &#x1f31f; for your delivery..","positive"
"better than all mobile","positive"
"good deal","positive"
"it is best for college student. it is not more expensive. so collage student are easily buy.  it&apos;s best &#x1f4f1;","positive"
"best product of vivo","positive"
"like product","positive"
"good product","positive"
"beautiful product i liked it very much 5 star product","positive"
"no headset","positive"
"i think this product is only for new look. videos quality is not good and camera is not working like 13 mpixal","positive"
"good mobile bought it on exchange","positive"
"nice phone","positive"
"nice one","positive"
"good phone","positive"
"video quality best he","positive"
"not good at this price, camera quality is very very bad in night , feature are good. not satisfied with this product... waste of money","positive"
"superp","positive"
"good product, good camera and low cost with infinity display","positive"
"camera quality is worst..  return my money..  totally unsatisfied.","positive"
"good","positive"
"nice one","positive"
"wow...nice phone with offer price...and also amazon gift pack raped.. its simply awesom...","positive"
"today, i got my phone &quot; vivo y81&quot;. but it&apos;s strange that it doesn&apos;t contain ear phones in box and it is not mentioned in description also. ideally it should be present because non android phones are available with earphones .need to know the reason","positive"
"items is very pathetic since day one i have face the problem with sim card and memory card i have raised the complaint against the same.... i hope sort my issue....","positive"
"nothing to say. all good till now. electronics works until it works..:)","positive"
"i purchased  this mobile  oct 11 2018. previously  i used redmi note 4. compare with this phone,  vivo y 81 keyboard  is worst.  difficult  to handle  it.  and we can set dual app only for facebook,  instagram,  what&apos;sapp.  screen only i like.  bad experience  with this.","negative"
"ok","positive"
"mobile ok","positive"
"best mobile phone at this value.","positive"
"good for money","positive"
"phone price so costly..... against phone fixture","positive"
"good","positive"
"camera quality is bad","positive"
"screen is awesome..","positive"
"super phone","positive"
"best","positive"
"the front camera has a very very very poor quality camera... is it a manufactured defect piece???","positive"
"this product on good then uses bettery &amp; mobile","positive"
"network  problem.  sir  dard  mobile. vivo  se  bad  koi  nahi.  don&apos;t  buy  this  mobile. totally  bad  mobile.  sirf  looks  me  perfect  hai kam  me  nahi","negative"
"very bad phone. 1stly network problems<br>then hang. battery problems","positive"
"camera is bed","positive"
"awesome product with low price.you ll get all the feature  as v9.it worth with full screen with low price.","positive"
"dislike this product","positive"
"yesterday i received this phone vivo y81 but at night,in the rare &amp; front camera,found very noise,need help.","positive"
"good product","positive"
"good mobile super look budget phone and nauch display buttery backup is low camera quality is worst","positive"
"exceelent phone love u vivo","negative"
"the first that attracted me to this phone is it&apos;s look&#x1f4f1;...<br>i was planning to buy some other phones ranging upto 13000.<br>and i got this....  so the look is sexy... battery backup is good.. no heating problem till...  about camera... i was expecting a 8mp front camera at least...<br>but what hurted me is that the price of this phone is lowered by 1000 now... i bought it for 12990 n now it&apos;s 11900...","positive"
"good","positive"
"very bad mobile sold by amazon fully broken and not working","positive"
"nyc","positive"
"this is the worst phone ever and it seems the seller is crook it&apos;s not even 24 hours i got the phone and the battery backup is pathetic the camera quality is pathetic the performance is the worst i have never seen in any mobile phone when i use the phone on the data network the app takes ages to load and also the video quality is the worst over all this is the worst phone i have ever changed in my life and i still strongly suggest everyone never ever by this phone specially from the seller i will find a court case but ensure this phone is returned","positive"
"item","positive"
"nice product value of money","positive"
"within 10 days the phone displayed has concked. instead of display multiple multi coloured lines are coming. please guide as to how we can get the set replaced/exchanged or repaired. this is really incredible! we&apos;ve never had such bad experience. can&apos;t we even trust the best know online emarket portal?","positive"
"very nice","positive"
"very good phone in under 15k price range.<br>must buy.","positive"
"nice service liked it","positive"
"vivo y81 not working camera front  kolity","negative"
"not bad","positive"
"good phone but camera is not up to mark.<br>build quality- 3/5<br>feature- 4/5<br>camera- 2/5<br>overall- 3/5","positive"
"good phone camera, quality is good as per 5 and 13 mp but the bokeh mode is not so good,  face and fingerprint  is very very fast all other things are good except its resolution is 1520 * 720 pixels which means heigest quality of watching a video is only 720 pixels which is very bad as compared to other phones, means if you used to watch lots of videos and play heavy games like pubg and a selfi addicted then  this phone is not for you. and while playing heavy games like pubg it lag a lot.","positive"
